Nodes, Bi-Links, Ants, Iteration reached, AlowedStagnation, Improvements, Best cost
200, 517, 10, 131, 50, 16, 997.0
200, 517, 10, 222, 50, 25, 1064.0
200, 517, 10, 314, 50, 32, 1068.0
200, 517, 10, 505, 50, 39, 1072.0
200, 517, 10, 598, 50, 40, 1070.0
200, 517, 10, 387, 50, 32, 1108.0
200, 517, 10, 357, 50, 32, 1053.0
200, 517, 10, 193, 50, 19, 1045.0
200, 517, 10, 262, 50, 22, 1042.0
200, 517, 10, 485, 50, 34, 1105.0
200, 517, 10, 263, 50, 24, 1085.0
200, 517, 10, 255, 50, 27, 1064.0
200, 517, 10, 82, 50, 15, 971.0
200, 517, 10, 434, 50, 35, 1079.0
200, 517, 10, 275, 50, 24, 997.0
200, 517, 10, 717, 50, 47, 1131.0
200, 517, 10, 179, 50, 18, 994.0
200, 517, 10, 311, 50, 26, 1065.0
200, 517, 10, 190, 50, 17, 981.0
200, 517, 10, 345, 50, 26, 1027.0
200, 517, 10, 633, 50, 43, 1130.0
200, 517, 10, 401, 50, 34, 1070.0
200, 517, 10, 585, 50, 42, 1095.0
200, 517, 10, 505, 50, 43, 1101.0
200, 517, 10, 629, 50, 47, 1105.0
200, 517, 10, 346, 50, 25, 1054.0
200, 517, 10, 488, 50, 42, 1121.0
200, 517, 10, 245, 50, 21, 1053.0
200, 517, 10, 403, 50, 37, 1085.0
200, 517, 10, 493, 50, 38, 1085.0
200, 517, 10, 360, 50, 34, 1097.0
200, 517, 10, 646, 50, 45, 1100.0
200, 517, 10, 337, 50, 32, 1079.0
200, 517, 10, 475, 50, 34, 1080.0
200, 517, 10, 128, 50, 23, 1030.0
200, 517, 10, 331, 50, 30, 1044.0
200, 517, 10, 546, 50, 42, 1098.0
200, 517, 10, 386, 50, 33, 1070.0
200, 517, 10, 507, 50, 38, 1107.0
200, 517, 10, 523, 50, 45, 1106.0
200, 517, 10, 125, 50, 14, 1022.0
200, 517, 10, 582, 50, 49, 1119.0
200, 517, 10, 830, 50, 54, 1122.0
200, 517, 10, 271, 50, 29, 1068.0
200, 517, 10, 136, 50, 20, 1011.0
200, 517, 10, 321, 50, 32, 1026.0
200, 517, 10, 561, 50, 49, 1090.0
200, 517, 10, 494, 50, 36, 1086.0
200, 517, 10, 305, 50, 30, 1059.0
200, 517, 10, 427, 50, 37, 1080.0
