Nodes, Bi-Links, Alowed Stagnation, Total path generations, Failed path generations, Successfull path generations, Straight improvements, Reached stagnation, Path evaluations, Best cost
1000, 6291, 100, 80272000, 80190684, 81316, 3, 101, 1276, 4295.0
1000, 6291, 100, 223098000, 222870885, 227115, 7, 101, 4326, 4482.0
1000, 6291, 100, 204287000, 204080746, 206254, 6, 101, 2529, 4320.0
1000, 6291, 100, 130326000, 130193760, 132240, 6, 101, 1914, 4411.0
1000, 6291, 100, 90489000, 90396982, 92018, 5, 101, 1668, 4415.0
1000, 6291, 100, 103496000, 103391824, 104176, 3, 101, 952, 4426.0
1000, 6291, 100, 143724000, 143578855, 145145, 6, 101, 1827, 4193.0
1000, 6291, 100, 134292000, 134155476, 136524, 6, 101, 2418, 4292.0
1000, 6291, 100, 131826000, 131692444, 133556, 7, 101, 1903, 4607.0
1000, 6291, 100, 158486000, 158325988, 160012, 5, 101, 1962, 4434.0
1000, 6291, 100, 168520000, 168349060, 170940, 8, 101, 2860, 4573.0
1000, 6291, 100, 131134000, 131001828, 132172, 4, 101, 1384, 4373.0
1000, 6291, 100, 242775000, 242527675, 247325, 6, 101, 5200, 4485.0
1000, 6291, 100, 176485000, 176306635, 178365, 5, 101, 2350, 4386.0
1000, 6291, 100, 83328000, 83243888, 84112, 5, 101, 1008, 4311.0
1000, 6291, 100, 157122000, 156962298, 159702, 5, 101, 3096, 4431.0
1000, 6291, 100, 103272000, 103167792, 104208, 3, 101, 1248, 4265.0
1000, 6291, 100, 167400000, 167230656, 169344, 11, 101, 2376, 4393.0
