Nodes, Bi-Links, Population, AlowedStagnation, TargetSpecies, MaxSpecies, Species at end, Generation reached, Ok crossovers, Invalid crossovers, Improvements, Path evaluations, Best cost
200, 517, 40, 50, 5, 10, 7, 200, 1651, 6245, 12, 19900, 901.0
200, 517, 40, 50, 5, 10, 7, 151, 1101, 5055, 11, 15058, 898.0
200, 517, 40, 50, 5, 10, 6, 267, 2324, 8628, 16, 27367, 925.0
200, 517, 40, 50, 5, 10, 7, 319, 2800, 11508, 16, 31735, 899.0
200, 517, 40, 50, 5, 10, 7, 156, 1228, 5508, 13, 15596, 895.0
200, 517, 40, 50, 5, 10, 7, 169, 1268, 5572, 9, 16839, 876.0
200, 517, 40, 50, 5, 10, 6, 155, 1224, 5328, 8, 15829, 890.0
200, 517, 40, 50, 5, 10, 6, 115, 879, 4257, 7, 11774, 843.0
200, 517, 40, 50, 5, 10, 7, 262, 2194, 8686, 17, 26094, 934.0
200, 517, 40, 50, 5, 10, 7, 149, 1302, 4894, 12, 14824, 935.0
200, 517, 40, 50, 5, 10, 6, 88, 624, 3088, 12, 8979, 868.0
200, 517, 40, 50, 5, 10, 7, 160, 1264, 5556, 7, 15935, 883.0
200, 517, 40, 50, 5, 10, 7, 86, 594, 2730, 6, 8590, 942.0
200, 517, 40, 50, 5, 10, 7, 94, 694, 2986, 7, 9431, 891.0
200, 517, 40, 50, 5, 10, 7, 136, 1079, 4865, 9, 13545, 895.0
200, 517, 40, 50, 5, 10, 6, 204, 1687, 6905, 16, 20893, 936.0
200, 517, 40, 50, 5, 10, 7, 144, 1062, 4346, 8, 14364, 882.0
200, 517, 40, 50, 5, 10, 6, 82, 652, 2740, 6, 8390, 899.0
200, 517, 40, 50, 5, 10, 6, 198, 1672, 6932, 13, 20223, 880.0
200, 517, 40, 50, 5, 10, 7, 167, 1411, 5349, 14, 16613, 892.0
200, 517, 40, 50, 5, 10, 6, 178, 1355, 6041, 8, 18192, 864.0
200, 517, 40, 50, 5, 10, 7, 138, 1117, 4631, 13, 13856, 895.0
200, 517, 40, 50, 5, 10, 7, 76, 525, 2383, 5, 7600, 890.0
200, 517, 40, 50, 5, 10, 6, 86, 633, 2887, 9, 8785, 872.0
200, 517, 40, 50, 5, 10, 7, 97, 703, 3445, 8, 9717, 873.0
200, 517, 40, 50, 5, 10, 7, 143, 1116, 4780, 13, 14274, 926.0
200, 517, 40, 50, 5, 10, 7, 194, 1560, 6732, 15, 19359, 928.0
200, 517, 40, 50, 5, 10, 7, 120, 948, 4228, 13, 11984, 880.0
200, 517, 40, 50, 5, 10, 7, 83, 571, 2741, 7, 8398, 849.0
200, 517, 40, 50, 5, 10, 7, 84, 514, 2622, 7, 8491, 907.0
200, 517, 40, 50, 5, 10, 7, 61, 343, 1889, 5, 6079, 849.0
200, 517, 40, 50, 5, 10, 7, 113, 864, 3712, 11, 11256, 886.0
200, 517, 40, 50, 5, 10, 6, 147, 1100, 4936, 9, 15016, 890.0
200, 517, 40, 50, 5, 10, 7, 171, 1397, 5807, 9, 17093, 898.0
200, 517, 40, 50, 5, 10, 6, 220, 1839, 7557, 13, 22491, 879.0
200, 517, 40, 50, 5, 10, 7, 189, 1601, 6291, 10, 18817, 912.0
200, 517, 40, 50, 5, 10, 7, 185, 1520, 6052, 14, 18436, 931.0
200, 517, 40, 50, 5, 10, 7, 147, 1128, 4892, 15, 14660, 879.0
200, 517, 40, 50, 5, 10, 6, 203, 1732, 7036, 16, 20794, 888.0
200, 517, 40, 50, 5, 10, 7, 124, 921, 3759, 5, 12386, 850.0
200, 517, 40, 50, 5, 10, 7, 82, 561, 2891, 7, 8177, 887.0
200, 517, 40, 50, 5, 10, 6, 124, 1021, 4331, 12, 12672, 858.0
200, 517, 40, 50, 5, 10, 7, 128, 989, 4715, 10, 12753, 881.0
200, 517, 40, 50, 5, 10, 7, 172, 1364, 5668, 10, 17127, 926.0
200, 517, 40, 50, 5, 10, 7, 123, 991, 3817, 10, 12273, 881.0
200, 517, 40, 50, 5, 10, 7, 71, 501, 2359, 7, 7107, 898.0
200, 517, 40, 50, 5, 10, 7, 157, 1197, 5219, 12, 15637, 888.0
200, 517, 40, 50, 5, 10, 6, 236, 2003, 8625, 15, 24216, 933.0
200, 517, 40, 50, 5, 10, 6, 192, 1771, 7033, 16, 19664, 911.0
200, 517, 40, 50, 5, 10, 6, 231, 2057, 8459, 16, 23619, 924.0
