Nodes, Bi-Links, Alowed Stagnation, Total path generations, Failed path generations, Successfull path generations, Straight improvements, Reached stagnation, Path evaluations, Best cost
200, 517, 100, 4048200, 4027613, 20587, 7, 101, 692, 789.0
200, 517, 100, 2856000, 2841618, 14382, 1, 101, 306, 752.0
200, 517, 100, 2374400, 2362080, 12320, 3, 101, 672, 752.0
200, 517, 100, 2747200, 2733262, 13938, 6, 101, 606, 792.0
200, 517, 100, 6267800, 6235425, 32375, 6, 101, 1554, 771.0
200, 517, 100, 3999600, 3978810, 20790, 7, 101, 990, 792.0
200, 517, 100, 3273600, 3257046, 16554, 7, 101, 558, 732.0
200, 517, 100, 5232400, 5205620, 26780, 5, 101, 1030, 795.0
200, 517, 100, 4670600, 4646668, 23932, 5, 101, 965, 822.0
200, 517, 100, 1974000, 1964025, 9975, 2, 101, 315, 758.0
200, 517, 100, 2282600, 2270783, 11817, 0, 101, 606, 599.0
200, 517, 100, 4906000, 4856717, 49283, 7, 101, 892, 847.0
200, 517, 100, 4080400, 4058988, 21412, 8, 101, 1414, 800.0
200, 517, 100, 2310800, 2299034, 11766, 3, 101, 424, 797.0
200, 517, 100, 4423200, 4400400, 22800, 6, 101, 1140, 863.0
200, 517, 100, 2353200, 2340798, 12402, 5, 101, 954, 777.0
200, 517, 100, 2574000, 2560910, 13090, 4, 101, 440, 814.0
200, 517, 100, 2424000, 2411678, 12322, 0, 101, 404, 642.0
200, 517, 100, 1976000, 1965664, 10336, 5, 101, 760, 795.0
200, 517, 100, 3577600, 3558852, 18748, 4, 101, 1204, 816.0
200, 517, 100, 3616200, 3597531, 18669, 5, 101, 882, 787.0
200, 517, 100, 3549600, 3531504, 18096, 4, 101, 696, 785.0
200, 517, 100, 3063600, 3047592, 16008, 7, 101, 828, 876.0
200, 517, 100, 3405600, 3388308, 17292, 3, 101, 528, 794.0
200, 517, 100, 6340400, 6307912, 32488, 9, 101, 1310, 839.0
200, 517, 100, 2128000, 2116912, 11088, 4, 101, 672, 853.0
200, 517, 100, 6497600, 6464368, 33232, 5, 101, 1240, 798.0
200, 517, 100, 2888600, 2873854, 14746, 0, 101, 404, 764.0
200, 517, 100, 5528400, 5499132, 29268, 7, 101, 2168, 769.0
200, 517, 100, 2245400, 2233864, 11536, 2, 101, 515, 802.0
