Nodes, Bi-Links, Ants, AlowedStagnation, Iteration reached, Improvements, Path evaluations, Best cost
200, 517, 10, 50, 374, 31, 3751, 1059.0
200, 517, 10, 50, 212, 24, 2131, 1030.0
200, 517, 10, 50, 272, 25, 2731, 1039.0
200, 517, 10, 50, 222, 21, 2231, 1070.0
200, 517, 10, 50, 266, 25, 2671, 1028.0
200, 517, 10, 50, 397, 30, 3981, 1068.0
200, 517, 10, 50, 155, 18, 1561, 1047.0
200, 517, 10, 50, 570, 45, 5711, 1122.0
200, 517, 10, 50, 199, 19, 2001, 1044.0
200, 517, 10, 50, 583, 48, 5841, 1112.0
200, 517, 10, 50, 257, 29, 2581, 1057.0
200, 517, 10, 50, 347, 36, 3481, 1096.0
200, 517, 10, 50, 328, 30, 3291, 1081.0
200, 517, 10, 50, 403, 35, 4041, 1096.0
200, 517, 10, 50, 195, 21, 1961, 1028.0
200, 517, 10, 50, 351, 38, 3521, 1107.0
200, 517, 10, 50, 179, 20, 1801, 1017.0
200, 517, 10, 50, 163, 22, 1641, 1006.0
200, 517, 10, 50, 208, 24, 2091, 1036.0
200, 517, 10, 50, 509, 39, 5101, 1074.0
200, 517, 10, 50, 451, 30, 4521, 1087.0
200, 517, 10, 50, 266, 26, 2671, 1061.0
200, 517, 10, 50, 617, 44, 6181, 1117.0
200, 517, 10, 50, 534, 44, 5351, 1125.0
200, 517, 10, 50, 289, 30, 2901, 1094.0
200, 517, 10, 50, 238, 26, 2391, 1055.0
200, 517, 10, 50, 255, 22, 2561, 1060.0
200, 517, 10, 50, 162, 21, 1631, 1007.0
200, 517, 10, 50, 503, 40, 5041, 1087.0
200, 517, 10, 50, 436, 36, 4371, 1079.0
200, 517, 10, 50, 549, 43, 5501, 1089.0
200, 517, 10, 50, 761, 51, 7621, 1094.0
200, 517, 10, 50, 487, 50, 4881, 1092.0
200, 517, 10, 50, 424, 36, 4251, 1084.0
200, 517, 10, 50, 372, 31, 3731, 1084.0
200, 517, 10, 50, 479, 39, 4801, 1079.0
200, 517, 10, 50, 426, 38, 4271, 1078.0
200, 517, 10, 50, 326, 28, 3271, 1034.0
200, 517, 10, 50, 400, 22, 4011, 1051.0
200, 517, 10, 50, 269, 24, 2701, 1063.0
200, 517, 10, 50, 313, 24, 3141, 1078.0
200, 517, 10, 50, 229, 21, 2301, 1045.0
200, 517, 10, 50, 300, 26, 3011, 1064.0
200, 517, 10, 50, 166, 18, 1671, 1018.0
200, 517, 10, 50, 443, 35, 4441, 1107.0
200, 517, 10, 50, 469, 31, 4701, 1108.0
200, 517, 10, 50, 155, 17, 1561, 1039.0
200, 517, 10, 50, 317, 21, 3181, 1059.0
200, 517, 10, 50, 536, 35, 5371, 1083.0
200, 517, 10, 50, 263, 22, 2641, 1064.0
