Nodes, Bi-Links, Ants, AlowedStagnation, Iteration reached, Improvements, Path evaluations, Best cost
3000, 94084, 100, 50, 167, 26, 16801, 17546.0
3000, 94084, 100, 50, 220, 46, 22101, 17731.0
3000, 94084, 100, 50, 124, 30, 12501, 17473.0
3000, 94084, 100, 50, 171, 32, 17201, 17435.0
3000, 94084, 100, 50, 85, 21, 8601, 17134.0
3000, 94084, 100, 50, 110, 34, 11101, 17492.0
3000, 94084, 100, 50, 218, 46, 21901, 17775.0
3000, 94084, 100, 50, 280, 34, 28101, 17636.0
3000, 94084, 100, 50, 181, 34, 18201, 17674.0
3000, 94084, 100, 50, 109, 31, 11001, 17272.0
3000, 94084, 100, 50, 77, 24, 7801, 17083.0
3000, 94084, 100, 50, 141, 39, 14201, 17518.0
3000, 94084, 100, 50, 192, 33, 19301, 17588.0
3000, 94084, 100, 50, 192, 29, 19301, 17173.0
3000, 94084, 100, 50, 109, 28, 11001, 17762.0
3000, 94084, 100, 50, 117, 25, 11801, 17546.0
3000, 94084, 100, 50, 199, 38, 20001, 17641.0
3000, 94084, 100, 50, 109, 27, 11001, 17384.0
3000, 94084, 100, 50, 102, 31, 10301, 17367.0
3000, 94084, 100, 50, 72, 27, 7301, 17728.0
3000, 94084, 100, 50, 206, 38, 20701, 17557.0
3000, 94084, 100, 50, 191, 30, 19201, 17624.0
3000, 94084, 100, 50, 146, 32, 14701, 17463.0
3000, 94084, 100, 50, 140, 32, 14101, 17368.0
3000, 94084, 100, 50, 122, 30, 12301, 17529.0
3000, 94084, 100, 50, 90, 25, 9101, 17403.0
3000, 94084, 100, 50, 156, 31, 15701, 17363.0
3000, 94084, 100, 50, 157, 35, 15801, 17508.0
3000, 94084, 100, 50, 109, 31, 11001, 17595.0
3000, 94084, 100, 50, 136, 33, 13701, 17684.0
