Nodes, Bi-Links, Population, AlowedStagnation, TargetSpecies, MaxSpecies, Species at end, Generation reached, Ok crossovers, Invalid crossovers, Improvements, Path evaluations, Best cost
200, 517, 100, 50, 5, 10, 7, 67, 1652, 13660, 6, 18978, 836.0
200, 517, 100, 50, 5, 10, 7, 100, 2928, 19716, 7, 28193, 896.0
200, 517, 100, 50, 5, 10, 7, 100, 3033, 19959, 6, 28203, 878.0
200, 517, 100, 50, 5, 10, 7, 100, 2734, 19858, 9, 28205, 888.0
200, 517, 100, 50, 5, 10, 6, 100, 2518, 20358, 11, 28525, 901.0
200, 517, 100, 50, 5, 10, 7, 100, 2948, 20076, 6, 28189, 893.0
200, 517, 100, 50, 5, 10, 7, 95, 2572, 18844, 5, 26841, 881.0
200, 517, 100, 50, 5, 10, 7, 100, 2717, 20547, 16, 28183, 930.0
200, 517, 100, 50, 5, 10, 7, 100, 2877, 19611, 10, 28273, 900.0
200, 517, 100, 50, 5, 10, 7, 75, 2102, 14934, 6, 21172, 860.0
200, 517, 100, 50, 5, 10, 7, 100, 2916, 20232, 6, 28177, 919.0
200, 517, 100, 50, 5, 10, 6, 100, 2777, 20571, 9, 28392, 887.0
200, 517, 100, 50, 5, 10, 7, 95, 2724, 19332, 6, 26779, 869.0
200, 517, 100, 50, 5, 10, 7, 100, 2643, 20365, 13, 28180, 899.0
200, 517, 100, 50, 5, 10, 7, 100, 2691, 20589, 7, 28186, 893.0
200, 517, 100, 50, 5, 10, 7, 100, 2832, 20216, 10, 28170, 895.0
200, 517, 100, 50, 5, 10, 7, 100, 2714, 20414, 7, 28186, 896.0
200, 517, 100, 50, 5, 10, 6, 100, 2556, 21024, 11, 28412, 895.0
200, 517, 100, 50, 5, 10, 6, 100, 2587, 20825, 11, 28409, 921.0
200, 517, 100, 50, 5, 10, 6, 100, 2770, 20278, 11, 28453, 929.0
200, 517, 100, 50, 5, 10, 6, 100, 2879, 20221, 10, 28419, 904.0
200, 517, 100, 50, 5, 10, 7, 100, 2990, 19758, 9, 28187, 884.0
200, 517, 100, 50, 5, 10, 7, 100, 2762, 20290, 8, 28179, 887.0
200, 517, 100, 50, 5, 10, 6, 100, 2641, 20635, 9, 28418, 906.0
200, 517, 100, 50, 5, 10, 6, 100, 2640, 20496, 15, 28445, 874.0
200, 517, 100, 50, 5, 10, 6, 100, 2904, 20388, 12, 28399, 924.0
200, 517, 100, 50, 5, 10, 6, 96, 2613, 19635, 6, 27269, 896.0
200, 517, 100, 50, 5, 10, 7, 100, 2787, 19981, 11, 28197, 874.0
200, 517, 100, 50, 5, 10, 6, 75, 1824, 15156, 5, 21417, 874.0
200, 517, 100, 50, 5, 10, 6, 100, 2827, 20737, 16, 28451, 905.0
