Nodes, Bi-Links, Population, AlowedStagnation, TargetSpecies, MaxSpecies, Species at end, Generation reached, Ok crossovers, Invalid crossovers, Path evaluations, Best cost
200, 517, 40, 50, 5, 10, 7, 149, 1175, 4625, 14854, 870.0
200, 517, 40, 50, 5, 10, 7, 94, 641, 3079, 9358, 863.0
200, 517, 40, 50, 5, 10, 6, 261, 2276, 9376, 26681, 956.0
200, 517, 40, 50, 5, 10, 6, 85, 610, 3054, 8664, 838.0
200, 517, 40, 50, 5, 10, 6, 207, 1774, 7330, 21180, 878.0
200, 517, 40, 50, 5, 10, 6, 164, 1371, 5865, 16785, 892.0
200, 517, 40, 50, 5, 10, 7, 147, 1181, 4787, 14626, 899.0
200, 517, 40, 50, 5, 10, 7, 100, 700, 3512, 10012, 900.0
200, 517, 40, 50, 5, 10, 6, 80, 535, 2717, 8200, 888.0
200, 517, 40, 50, 5, 10, 6, 97, 767, 3349, 9896, 911.0
200, 517, 40, 50, 5, 10, 7, 127, 1059, 4277, 12675, 893.0
200, 517, 40, 50, 5, 10, 6, 85, 678, 2990, 8708, 857.0
200, 517, 40, 50, 5, 10, 6, 157, 1323, 5325, 16057, 921.0
200, 517, 40, 50, 5, 10, 7, 102, 718, 3422, 10210, 873.0
200, 517, 40, 50, 5, 10, 6, 149, 1205, 5191, 15252, 905.0
200, 517, 40, 50, 5, 10, 7, 141, 1125, 4591, 14098, 892.0
200, 517, 40, 50, 5, 10, 7, 102, 724, 3324, 10207, 884.0
200, 517, 40, 50, 5, 10, 7, 167, 1363, 5717, 16636, 924.0
200, 517, 40, 50, 5, 10, 7, 58, 342, 2070, 5881, 818.0
200, 517, 40, 50, 5, 10, 6, 66, 459, 2193, 6723, 859.0
200, 517, 40, 50, 5, 10, 6, 99, 727, 3565, 10116, 851.0
200, 517, 40, 50, 5, 10, 6, 237, 2084, 8208, 24249, 930.0
200, 517, 40, 50, 5, 10, 7, 121, 928, 3988, 12100, 923.0
200, 517, 40, 50, 5, 10, 6, 114, 938, 3942, 11636, 860.0
200, 517, 40, 50, 5, 10, 7, 215, 1697, 6863, 21407, 920.0
200, 517, 40, 50, 5, 10, 7, 143, 1105, 4559, 14241, 924.0
200, 517, 40, 50, 5, 10, 7, 125, 899, 4141, 12477, 870.0
200, 517, 40, 50, 5, 10, 7, 88, 714, 2718, 8784, 886.0
200, 517, 40, 50, 5, 10, 7, 57, 360, 1872, 5742, 808.0
200, 517, 40, 50, 5, 10, 6, 309, 2688, 10456, 31637, 893.0
200, 517, 40, 50, 5, 10, 6, 135, 1091, 4385, 13844, 894.0
200, 517, 40, 50, 5, 10, 6, 146, 1082, 5038, 14966, 918.0
200, 517, 40, 50, 5, 10, 7, 123, 967, 4133, 12229, 891.0
200, 517, 40, 50, 5, 10, 7, 164, 1246, 5310, 16428, 950.0
200, 517, 40, 50, 5, 10, 6, 105, 731, 3561, 10729, 866.0
200, 517, 40, 50, 5, 10, 6, 149, 1132, 4884, 15205, 916.0
200, 517, 40, 50, 5, 10, 7, 183, 1462, 6418, 18229, 939.0
200, 517, 40, 50, 5, 10, 6, 130, 1041, 4779, 13267, 908.0
200, 517, 40, 50, 5, 10, 7, 94, 699, 2885, 9401, 865.0
200, 517, 40, 50, 5, 10, 7, 79, 560, 2520, 7911, 832.0
200, 517, 40, 50, 5, 10, 7, 173, 1333, 5579, 17234, 898.0
200, 517, 40, 50, 5, 10, 7, 133, 997, 4207, 13281, 891.0
200, 517, 40, 50, 5, 10, 6, 91, 615, 3209, 9322, 871.0
200, 517, 40, 50, 5, 10, 7, 149, 1177, 5231, 14854, 876.0
200, 517, 40, 50, 5, 10, 6, 152, 1207, 5065, 15567, 932.0
